company_name,job_description,job_salary,job_type,job_classification,company_review,company_benefits,company_size,company_industry,job_location
Think City,Spatial Analyst - Associate / Senior Associate,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"George Town, Penang"
ACCORD INNOVATIONS SDN. BHD.,"Resman 1137, Senior Software Engineer",No info for Job Salary,Full time,Consultants (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,"Kuala Lumpur City Centre, Kuala Lumpur"
Microsoft,Data Center Inventory & Asset Technician Manager,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),4.3,No info for Company Benefits,1-10 employees,Computer Software & Networking,Kuala Lumpur
Wilhelmsen,GHSEQ Data Quality Executive,No info for Job Salary,Full time,Financial Accounting & Reporting (Accounting),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
Agensi Pekerjaan Humanix Sdn Bhd,DevOps Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Pudu, Kuala Lumpur"
ACCORD INNOVATIONS SDN. BHD.,Resman 1064- Senior Software Engineer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,"Kuala Lumpur City Centre, Kuala Lumpur"
Abbott Laboratories (Malaysia) Sdn Bhd,Salesforce Solution Architect,No info for Job Salary,Full time,Architects (Information & Communication Technology),3.9,"Medical
Miscellaneous allowance
Education support
Dental
Sports (e.g. Gym)
Parking
Vision
Employee Assistance Support","1,001-5,000 employees","Manufacturing, Transport & Logistics",Selangor
ACCORD INNOVATIONS SDN. BHD.,Oracle Developer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
ACCORD INNOVATIONS SDN. BHD.,Developer (stored procedure + SQL) or (Java+stored procedure),No info for Job Salary,Contract/Temp,Engineering - Software (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
ACCORD INNOVATIONS SDN. BHD.,13546742 - Senior Pimcore Developer (Data Hub),No info for Job Salary,Contract/Temp,Electrical/Electronic Engineering (Engineering),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
ACCORD INNOVATIONS SDN. BHD.,"Resman 1077, Senior Software Engineer",No info for Job Salary,Full time,Consultants (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,"Kuala Lumpur City Centre, Kuala Lumpur"
ACCORD INNOVATIONS SDN. BHD.,13668925- Core Banking- Developer (Oracle Tuxedo),No info for Job Salary,Contract/Temp,Developers/Programmers (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
Insider Security,"Software Engineer (DevOps/SRE Team, Malaysia)",No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,Computer Software & Networking,Kuala Lumpur
Maxis Broadband Sdn Bhd,Sustainability Specialist,No info for Job Salary,Full time,Management & Change Consulting (Consulting & Strategy),4.2,"Medical
Education support
Loans
Dental
Phone Bill Allowance, Mobile Phone Subsidy, Additi","More than 10,000 employees",Telecommunications & Internet Service Providers,"Kuala Lumpur City Centre, Kuala Lumpur"
Opus Asset Management Sdn Bhd,Associate,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),4,"Medical self & family, Insurance",51-100 employees,Banking & Financial Services,"Kuala Lumpur City Centre, Kuala Lumpur"
foodpanda Malaysia Sdn Bhd (Corporate Office),"Data Analyst, Fintech",No info for Job Salary,Full time,Business/Systems Analysts (Information & Communication Technology),3.8,"Medical
Dental
Corporate Allowance; Lifestyle Allowance","1,001-5,000 employees",Information & Communication Technology,Kuala Lumpur
Unison Consulting,Informatica Developer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Ranhill Worley Sdn Bhd,Data Analyst I,No info for Job Salary,Full time,Consultants (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
MAHSA SPECIALIST HOSPITAL,LMS Administrator,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Jenjarom, Selangor"
ACCORD INNOVATIONS SDN. BHD.,Cloud Engineer,No info for Job Salary,Contract/Temp,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
UniQ Consulting & Services Sdn Bhd,"Cloud Engineer, Modern Workplace",No info for Job Salary,Full time,Management (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Selangor
KRAFT SOFTWARE SOLUTIONS SDN. BHD.,Fresh Graduates with knowledge of DevOps are plus,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,"Kuala Lumpur City Centre, Kuala Lumpur"
MRANTI Corporation,Developer - Computer Vision/Machine Learning,No info for Job Salary,Contract/Temp,Retail Assistants (Retail & Consumer Products),3.9,"Medical
Dental
Sports (e.g. Gym)
Parking","101-1,000 employees",Real Estate & Property,"Shah Alam, Selangor"
Capgemini Services Malaysia Sdn Bhd,Murex Developer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),3.8,"Medical
Education support
Dental","More than 10,000 employees",Computer Software & Networking,Kuala Lumpur
ACCORD INNOVATIONS SDN. BHD.,Oracle and MSSQL DBA,No info for Job Salary,Contract/Temp,Database Development & Administration (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,"Bangi, Selangor"
RIA,Senior DevOps Engineer,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Accion Labs Sdn. Bhd.,DBA Lead,No info for Job Salary,Contract/Temp,Architects (Information & Communication Technology),4.3,"Medical
Miscellaneous allowance","101-1,000 employees",Computer Software & Networking,Kuala Lumpur
MindValley Labs Sdn Bhd,Learning Experience Producer,No info for Job Salary,Full time,Workplace Training & Assessment (Education & Training),3.8,"Medical
Education support
team retreats; events like WebCamp, guest talks; i",51-100 employees,Services,"Kuala Lumpur City Centre, Kuala Lumpur"
MindValley Labs Sdn Bhd,Learning Experience Producer,No info for Job Salary,Full time,Workplace Training & Assessment (Education & Training),3.8,"Medical
Education support
team retreats; events like WebCamp, guest talks; i",51-100 employees,Services,"Kuala Lumpur City Centre, Kuala Lumpur"
Unison Consulting,Murex Datamart Developer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
ACCORD INNOVATIONS SDN. BHD.,Global Market - MxTest Analyst (Onyx) (SN 238),No info for Job Salary,Contract/Temp,Consultants (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,"Kuala Lumpur City Centre, Kuala Lumpur"
TikTok,Ads Quality Specialist (Korean Speaking),No info for Job Salary,Full time,Testing & Quality Assurance (Information & Communication Technology),5,"Medical
Dental","More than 10,000 employees","Broadcast Media, Entertainment and Publishing","Kuala Lumpur City Centre, Kuala Lumpur"
EBC Group,DevOps Engineer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Unison Consulting,Developer (Opentext),No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
iFAST Corporation,Software Engineer (Platform Engineering),No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
Upskills,Murex MxML Developer,No info for Job Salary,Full time,Consultants (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
Fugro Malaysia Marine Sdn Bhd,Senior Data Processor,No info for Job Salary,Full time,Financial Accounting & Reporting (Accounting),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Oxydata Software Sdn Bhd,Devops Engineer,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,"Medical
Miscellaneous allowance
Education support
Performance bonus",51-100 employees,Computer Software & Networking,Kuala Lumpur
ACCORD INNOVATIONS SDN. BHD.,Senior Integration Architect (MxML Interface),No info for Job Salary,Contract/Temp,Analysis & Reporting (Banking & Financial Services),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,"Kuala Lumpur City Centre, Kuala Lumpur"
Azeus Systems Limited,MongoDB Optimization Specialist,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
CTC Global Sdn Bhd,Data Center Operator,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),3.4,"Medical
Miscellaneous allowance
Education support","101-1,000 employees",Information & Communication Technology,"Cyberjaya, Selangor"
ON Semiconductor Malaysia Sdn. Bhd.,2024 New College Graduate (NCG),No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),4.3,"Medical/Dental
Miscellaneous allowance
Education support
Hostel
Parking
Vision
Shift Allowance
Transportation","More than 10,000 employees",Consumer Electronics Manufacturing,"Seremban, Negeri Sembilan"
KLA,"Senior Customer Support Engineer (Team Lead) Based in Bayan Lepas, Penang",No info for Job Salary,Full time,Field Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Penang
ACCORD INNOVATIONS SDN. BHD.,Polisy400 developer,No info for Job Salary,Contract/Temp,Database Development & Administration (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,"Kuala Lumpur City Centre, Kuala Lumpur"
ACCORD INNOVATIONS SDN. BHD.,Jr BA Chinese,No info for Job Salary,Contract/Temp,Data Entry & Word Processing (Administration & Office Support),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
iCar Asia (Carlist.my),DevOps Engineer,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,"Medical & Insurance
Corporate Employee Purchase Program
Dental
Long Service Award
Birthday Leave
Company Laptop
Car Insurance Renewal & Purchase
Free Beverages","101-1,000 employees","Advertising, Arts & Media","Kuala Lumpur City Centre, Kuala Lumpur"
RAM Holdings,Sustainability Analysts,No info for Job Salary,Full time,Compliance & Risk (Banking & Financial Services),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
DHL Asia Pacific Shared Services Sdn Bhd,DevOps Engineer (Java),No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),4.2,"Medical
Parking
Flexi Benefits
Earned Public Holiday","1,001-5,000 employees",Information & Communication Technology,"Cyberjaya, Selangor"
Quantexa,Technical Lead,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
"Business Development, Business Strategy, Data Analytics, Data Science, Engineering, Financial Services, Product","Analyst, Demand Planning & Project Management",No info for Job Salary,Full time,Digital & Search Marketing (Marketing & Communications),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
Baker Hughes,University Internships - Engineering & Technology 2024 (Malaysia),No info for Job Salary,Full time,Environmental Engineering (Engineering),4.3,No info for Company Benefits,"More than 10,000 employees",Oil & Gas Extraction & Refinement,"Kuala Lumpur City Centre, Kuala Lumpur"
"Business Development, Business Strategy, Data Analytics, Data Science, Engineering, Financial Services, Product","Assistant Manager, Ecosystem Payments",No info for Job Salary,Full time,Analysis & Reporting (Accounting),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Prudential Assurance Malaysia Berhad,Intern,No info for Job Salary,Full time,Bookkeeping & Small Practice Accounting (Accounting),4.1,No info for Company Benefits,11-50 employees,Insurance,Kuala Lumpur
TikTok,"Search & Account Safety Evaluation Specialist, Tagalog Speaker - Trust and",No info for Job Salary,Full time,Account & Relationship Management (Sales),5,"Medical
Dental","More than 10,000 employees","Broadcast Media, Entertainment and Publishing","Kuala Lumpur City Centre, Kuala Lumpur"
TikTok,"Search & Account Safety Evaluation Specialist, Malay Speaker - Trust and Safety",No info for Job Salary,Full time,Account & Relationship Management (Sales),5,"Medical
Dental","More than 10,000 employees","Broadcast Media, Entertainment and Publishing","Kuala Lumpur City Centre, Kuala Lumpur"
TikTok,"Search & Account Safety Evaluation Specialist, Thai Speaker - Trust and Safety",No info for Job Salary,Full time,Account & Relationship Management (Sales),5,"Medical
Dental","More than 10,000 employees","Broadcast Media, Entertainment and Publishing","Kuala Lumpur City Centre, Kuala Lumpur"
Hibiscus Petroleum Berhad,Senior Reservoir Engineer,No info for Job Salary,Full time,Civil/Structural Engineering (Engineering),4.4,"Medical
Dental
Parking
Vision",51-100 employees,Oil & Gas Extraction & Refinement,"Kuala Lumpur City Centre, Kuala Lumpur"
"Business Strategy, Data Science, Data Analytics, Engineering, Finance, Product, UX and Design",Software Engineer Backend,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
"Business Development, Business Strategy, Data Analytics, Data Science, Engineering, Financial Services, Product",Collection Team Lead,No info for Job Salary,Full time,Credit (Banking & Financial Services),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
"Business Development, Business Strategy, Data Analytics, Data Science, Engineering, Financial Services, Product","Assistant Manager, Commercial Strategy & Operations",No info for Job Salary,Full time,Strategy & Planning (Consulting & Strategy),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
"Data Science, Engineering","Intern, Software Engineer Fullstack",No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
Singapore Telecommunications Limited,Fibre & Routing Planner,No info for Job Salary,Full time,Telecommunications (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
MOL ACCESSPORTAL SDN. BHD.,AIOps Engineer Intern,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Shah Alam, Selangor"
COGNITE,Principal/ Senior Project Manager,No info for Job Salary,Full time,Programme & Project Management (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
"Business Development, Business Strategy, Data Analytics, Data Science, Engineering, Financial Services, Product",Risk Ops Team Lead,No info for Job Salary,Full time,Strategy & Planning (Consulting & Strategy),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
Astro,Intern (Product),No info for Job Salary,Full time,Business/Systems Analysts (Information & Communication Technology),4.3,"Medical
Miscellaneous allowance
Education support
Dental
Sports (e.g. Gym)
Parking
Vision","1,001-5,000 employees","Broadcast Media, Entertainment and Publishing",Kuala Lumpur
Celestica Electronics (M) Sdn Bhd,"Lead Engineer, Electrical Design",No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Penang
Celestica Electronics (M) Sdn Bhd,"Lead Engineer, Software (SDK/Sonic)",No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Penang
Avanade Malaysia Sdn Bhd,Business Analyst,No info for Job Salary,Full time,Business/Systems Analysts (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Celestica Electronics (M) Sdn Bhd,"Senior Engineer, Mechanical Design (Automation)",No info for Job Salary,Full time,Mechanical Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kulim, Kedah"
Alltec - Foba Asia (Danaher Group),Operations Reporting and Data Analyst,No info for Job Salary,Full time,Business/Systems Analysts (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
MICRON MEMORY MALAYSIA SDN. BHD.,Senior System Test Engineer,No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),3.8,"Medical
Miscellaneous allowance
Education support
Dental
Sports (e.g. Gym)
Parking
Vision
Training","1,001-5,000 employees",Consumer Electronics Manufacturing,"Perai, Penang"
"Advertising, Business Development, Business Strategy, Data Analytics, Engineering, Marketing, Communications & Public Policy, Operations, Sales","Assistant Manager, User Growth & Strategy, Regional SMB Ads",No info for Job Salary,Full time,Marketing Communications (Marketing & Communications),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
Agensi Pekerjaan MCi Sdn. Bhd,Quality Assurance Engineer,No info for Job Salary,Full time,"Quality Assurance & Control (Manufacturing, Transport & Logistics)",No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Tampoi, Johor"
ExxonMobil Malaysia,Information Technology,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),4.3,No info for Company Benefits,1-10 employees,Oil & Gas Extraction & Refinement,"Kuala Lumpur City Centre, Kuala Lumpur"
Dexcom,Supervisor Manufacturing,No info for Job Salary,Full time,"Team Leaders/Supervisors (Manufacturing, Transport & Logistics)",3.7,"Medical
Dental","1,001-5,000 employees","Manufacturing, Transport & Logistics",Penang
Standard Chartered Bank,(ML)Senior Process Mining Engineer - Celonis/ARIS,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4,"Medical
Dental
Vision","1,001-5,000 employees",Information & Communication Technology,Kuala Lumpur
Standard Chartered Bank,(ML)Senior Process Mining Engineer - Celonis/ARIS,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4,"Medical
Dental
Vision","1,001-5,000 employees",Information & Communication Technology,Kuala Lumpur
Unison Consulting,Java Full Stack Developer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
ACCORD INNOVATIONS SDN. BHD.,Kafka Engineer,No info for Job Salary,Contract/Temp,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,"Bukit Jalil, Kuala Lumpur"
Experian (Malaysia) Sdn Bhd,Site Reliability Engineer,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),4,"Insurance, Health & Wellness
Financial & Retirement
Family & Parenting
Vacation & Time Off
Professional Qualification Support
Experian Cares Allowance","101-1,000 employees",Computer Software & Networking,"Cyberjaya, Selangor"
GX Bank,"Technology Audit, Manager",No info for Job Salary,Full time,Security (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
ASE,Test Product Technician,No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Bayan Lepas, Penang"
MindValley Labs Sdn Bhd,Program Manager,No info for Job Salary,Full time,Programme & Project Management (Information & Communication Technology),3.8,"Medical
Education support
team retreats; events like WebCamp, guest talks; i",51-100 employees,Services,"Kuala Lumpur City Centre, Kuala Lumpur"
SWIFT SUPPORT SERVICES MALAYSIA SDN. BHD.,Segi University Career Fair,No info for Job Salary,Full time,Consultants (Information & Communication Technology),4.1,"Medical
Education support
Dental
Parking
Vision
Flexible benefits, Health check benefit, Work from","1,001-5,000 employees",Banking & Financial Services,Kuala Lumpur
MRANTI Corporation,UX Designer,No info for Job Salary,Full time,Digital & Search Marketing (Marketing & Communications),3.9,"Medical
Dental
Sports (e.g. Gym)
Parking","101-1,000 employees",Real Estate & Property,"Kuala Lumpur City Centre, Kuala Lumpur"
SWIFT SUPPORT SERVICES MALAYSIA SDN. BHD.,"Product Owner, Swift Scope",No info for Job Salary,Full time,Programme & Project Management (Information & Communication Technology),4.1,"Medical
Education support
Dental
Parking
Vision
Flexible benefits, Health check benefit, Work from","1,001-5,000 employees",Banking & Financial Services,Kuala Lumpur
Airfoil Services Sdn Bhd,Advance Engineer - Product,No info for Job Salary,Full time,Mechanical Engineering (Engineering),4.1,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking","101-1,000 employees",Airlines/Aviation,"Damansara, Selangor"
Carsome Sdn Bhd,Lead Decision Analyst,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,"Medical
Miscellaneous allowance
Dental","1,001-5,000 employees",Automotive,"Damansara, Selangor"
BSI,AI Auditor,No info for Job Salary,Full time,Compliance & Risk (Banking & Financial Services),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
BSI Services Malaysia Sdn Bhd,AI Auditor,No info for Job Salary,Full time,Compliance & Risk (Banking & Financial Services),2,"Medical
Miscellaneous allowance
Dental","More than 10,000 employees",Services,Kuala Lumpur
Petronas Lubricants International Sdn Bhd,Manager (Software Engineering),No info for Job Salary,Full time,Architects (Information & Communication Technology),No info for Company Review,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Vision
Hospitalization Insurance, Medical & Annual Leave",51-100 employees,Oil & Gas Extraction & Refinement,"Kuala Lumpur City Centre, Kuala Lumpur"
Hewlett Packard Enterprise,Engineering Coordinator,No info for Job Salary,Full time,"Analysis & Reporting (Manufacturing, Transport & Logistics)",4.1,Medical,"More than 10,000 employees",Computer Software & Networking,Penang
Petronas Lubricants International Sdn Bhd,Manager (Software Engineering),No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Vision
Hospitalization Insurance, Medical & Annual Leave",51-100 employees,Oil & Gas Extraction & Refinement,Sarawak
Petronas Lubricants International Sdn Bhd,Manager (Software Engineering),No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Vision
Hospitalization Insurance, Medical & Annual Leave",51-100 employees,Oil & Gas Extraction & Refinement,Sabah
Baker Hughes,University Internships - Finance & Accounting 2024 Opportunities (Malaysia),No info for Job Salary,Full time,Consulting & Generalist HR (Human Resources & Recruitment),4.3,No info for Company Benefits,"More than 10,000 employees",Oil & Gas Extraction & Refinement,"Kuala Lumpur City Centre, Kuala Lumpur"
Airfoil Services Sdn Bhd,Section Manager - Product Engineering,No info for Job Salary,Full time,Management (Engineering),4.1,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking","101-1,000 employees",Airlines/Aviation,"Damansara, Selangor"
Qode,IOT Hardware Engineer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
ACCORD INNOVATIONS SDN. BHD.,Project manager (Data),No info for Job Salary,Contract/Temp,Programme & Project Management (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,"Bangi, Selangor"
UCT Ultra Clean,"Manager, IT Data & Analytics",No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Penang
ORSTED MALAYSIA SDN BHD,IT Product Manager for Orsted Data Ecosystem,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),4.6,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Vision","101-1,000 employees",Computer Software & Networking,Kuala Lumpur
STASHAWAY MALAYSIA SDN. BHD.,Data Analyst,No info for Job Salary,Full time,Business/Systems Analysts (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
TMF Administrative Services Malaysia Sdn. Bhd.,Sales Insights Analyst,No info for Job Salary,Contract/Temp,Analysis & Reporting (Accounting),3.3,"Medical
Dental
Vision","More than 10,000 employees",Consulting Services,"Kuala Lumpur City Centre, Kuala Lumpur"
TMF Administrative Services Malaysia Sdn. Bhd.,Sales Insights Analyst,No info for Job Salary,Contract/Temp,Analysis & Reporting (Accounting),3.3,"Medical
Dental
Vision","More than 10,000 employees",Consulting Services,Kuala Lumpur
Mubadala Energy,Maintenance Manager,No info for Job Salary,Full time,Maintenance (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
"Data Science, Data Analytics, Engineering, Risk Management","Software Engineer, Backend - Mobility Team",No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
GX Bank,"Head, Technology Audit",No info for Job Salary,Full time,Compliance & Risk (Banking & Financial Services),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
Super Micro Computer,Staff Field Applications Engineer,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Johor Bahru, Johor"
Robert Bosch (M) Sdn Bhd,Product / Test Technicians,No info for Job Salary,Full time,"Quality Assurance & Control (Manufacturing, Transport & Logistics)",4.2,"Medical
Dental
Leave Entitlement e.g: Annual Leave, Medical Leave",51-100 employees,Consumer Electronics Manufacturing,"Batu Kawan, Penang"
"Data Science, Data Analytics, Engineering, Risk Management","Software Engineer, Mobile (Android) - Mobility Team",No info for Job Salary,Full time,Sales Representatives/Consultants (Sales),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
"Data Science, Data Analytics, Engineering, Risk Management","Software Engineer, Mobile (iOS)",No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
"Data Science, Data Analytics, Engineering, Risk Management","Software Engineer, Mobile (Android)",No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
DHL Asia Pacific Shared Services Sdn Bhd,"Senior Software Engineer (Java, ReactJS)",No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),4.2,"Medical
Parking
Flexi Benefits
Earned Public Holiday","1,001-5,000 employees",Information & Communication Technology,"Cyberjaya, Selangor"
MERGE JATI,Assistant Engineering Manager,No info for Job Salary,Full time,Mechanical Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kota Kemuning, Selangor"
Super Micro Computer,Sales Director,No info for Job Salary,Full time,Sales - Pre & Post (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Johor Bahru, Johor"
Cartrack Malaysia Sdn Bhd,Technical Recruiter,No info for Job Salary,Full time,Recruitment - Internal (Human Resources & Recruitment),3.4,Medical,51-100 employees,Automotive,Kuala Lumpur
